BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY,LATITUDE,LONGITUDE
Brokered by COMPASS,Pending,499000,1,1,615.0,Manhattan,"265 W 131st St Apt 5Manhattan, NY 10027",New York,New York County,New York,40.8138919,-73.9476673
Brokered by RE MAX Central,Multi-family home,1550000,12,7,3000.0,Staten Island,"174-176 Camden AveStaten Island, NY 10309",United States,New York,Richmond County,40.5083446,-74.2299349
Brokered by RE/MAX City Square,Co-op,319000,2,1,2184.207862,Forest Hills,"67-41 Burns St Unit 414Forest Hills, NY 11375",New York,Queens County,Queens,40.7230399,-73.85628
Brokered by Ben Bay Realty Company of Staten Island LLC,Contingent,759000,3,4,1424.0,Staten Island,"419 Ogorman AveStaten Island, NY 10308",United States,New York,Richmond County,40.552359,-74.14076
Brokered by JWS REALTY GROUP,Co-op,245000,3,1,260.0,Ny,"5 Tudor City Pl Apt 1818Ny, NY 10017",New York,New York County,New York,40.748134,-73.9708805
Brokered by Get Listed Get Sold NYC,Multi-family home,1249000,5,3,1548.0,Brooklyn,"2171 W 7th StBrooklyn, NY 11223",United States,New York,Kings County,40.5946329,-73.9779295
Brokered by RE MAX Edge,Condo,455000,2,1,939.0,Staten Island,"449 Medina St Apt 2CStaten Island, NY 10306",New York,Richmond County,Staten Island,40.5599528,-74.1198255
Brokered by RE MAX Edge,Multi-family home,999900,4,2,2024.0,Brooklyn,"29 Bay 10th StBrooklyn, NY 11228",United States,New York,Kings County,40.6101839,-74.009209
Brokered by JM Properties,House,395000,2,1,666.0,Staten Island,"170 Baden PlStaten Island, NY 10306",United States,New York,Richmond County,40.5724498,-74.0909716
Brokered by Nestapple,Condo,620000,1,1,430.0,Manhattan,"112 W 72nd St Ph CManhattan, NY 10023",New York,New York County,New York,40.7774399,-73.9793101
Brokered by Momentum Real Estate LLC,Multi-family home,1295000,4,2,3264.0,Staten Island,"643 Huguenot AveStaten Island, NY 10312",United States,New York,Richmond County,40.5389259,-74.195072
Brokered by Ilite Realty Inc,Condo,849000,3,2,1241.0,Brooklyn,"398 Kings Hwy Unit 308Brooklyn, NY 11223",New York,Kings County,Brooklyn,40.604405,-73.9751935
Brokered by Serhant,Co-op,8995000,5,4,5500.0,New York,"38 W 26th St Unit 9THNew York, NY 10010",New York,New York County,New York,40.7442721,-73.9907621
Brokered by Jnm & Associates Inc,Co-op,650000,3,1,2184.207862,Brooklyn,"116 Cambridge Pl Apt 3CBrooklyn, NY 11238",New York,Kings County,Brooklyn,40.6837918,-73.9631445
Brokered by COMPASS,Condo,2995000,2,2,1452.0,Manhattan,"120 E 87th St Apt R26BManhattan, NY 10128",New York,New York County,New York,40.7803919,-73.9558923
Brokered by Douglas Elliman - Bayside,Condo,495000,2,1,800.0,Kew Gardens,"83-71 116th St Unit 4EKew Gardens, NY 11418",New York,Queens County,Queens,40.7045515,-73.8356118
Brokered by NEUHAUS REALTY INC.,House,675000,3,2,1222.0,Staten Island,"7 Norwood CtStaten Island, NY 10304",United States,New York,Richmond County,40.6277171,-74.0860272
Brokered by COMPASS,Condo,999000,3,1,600.0,Manhattan,"10 W End Ave Apt 8JManhattan, NY 10023",New York,New York County,New York,40.7717454,-73.9900505
Brokered by PPAD - Park Property Advisors,Condo,2250000,2,2,1334.0,Brooklyn,"415 DE Graw St Unit PhBrooklyn, NY 11217",United States,New York,Kings County,40.6819719,-73.9903277
Brokered by RE MAX Distinguished Homes & Properties,Multi-family home,1299000,9,4,3720.0,Bronx,"790 Olmstead AveBronx, NY 10473",United States,New York,Bronx County,40.8227297,-73.8517272
Brokered by J. Sikar Realty,Condo,429000,1,1,640.0,Brooklyn,"501 Surf Ave Apt 9DBrooklyn, NY 11224",Kings County,Brooklyn,Coney Island,40.5755355,-73.9735905
Brokered by Aschan Realty,House,649999,3,2,2184.207862,Rosedale,"139-32 Laurelton PkwyRosedale, NY 11422",United States,New York,Queens County,40.6670008,-73.7409018
Brokered by Brown Harris Stevens - 100 Seventh Avenue,Townhouse,2050000,5,4,3000.0,Brooklyn,"26 Rutland Rd Unit TownhouseBrooklyn, NY 11225",United States,New York,Kings County,40.6586603,-73.9595973
Brokered by COMPASS,Pending,1299000,4,2,1456.0,Manhattan,"100 W 119th St Apt 3AManhattan, NY 10026",New York,New York County,New York,40.8040587,-73.9487622
"Brokered by Behfar Team, Llc",House,1075000,6,2,2200.0,Brooklyn,"1455 E 15th StBrooklyn, NY 11230",United States,New York,Kings County,40.6141979,-73.9591151
Brokered by TRACEY REAL ESTATE,Co-op,174000,1,1,800.0,Brooklyn,"3105 Avenue V Apt 1HBrooklyn, NY 11229",New York,Kings County,Brooklyn,40.5997081,-73.9344974
Brokered by Connie Profaci Realty,House,1193000,2,2,1518.0,Staten Island,"1085 Todt Hill RdStaten Island, NY 10304",United States,New York,Richmond County,40.5839283,-74.1113788
Brokered by Corcoran Bedford Stuyvesant,House,4995000,4,4,2184.207862,Brooklyn,"464 1st StBrooklyn, NY 11215",United States,New York,Kings County,40.6712943,-73.9771145
Brokered by Pride Estates,House,898000,5,4,2828.0,Brooklyn,"185 Highland BlvdBrooklyn, NY 11207",United States,New York,Kings County,40.6816001,-73.8948525
Brokered by Keller Williams NYC,Multi-family home,1288000,5,3,1500.0,Whitestone,"147-18 16th RdWhitestone, NY 11357",United States,New York,Queens County,40.7849809,-73.8178033
Brokered by Prodigy Real Estate Inc.,House,1749999,4,4,2600.0,Staten Island,"106 Overlook AveStaten Island, NY 10304",United States,New York,Richmond County,40.595688,-74.0982331
Brokered by RE MAX Elite,Condo,575000,2,2,1253.0,Rockaway Park,"101-02 Shore Front Pkwy Unit 26ARockaway Park, NY 11694",New York,Queens County,Queens,40.5824866,-73.8213437
"Brokered by Nest Seekers International, Midtown",Condo,5100000,4,2,2183.0,New York,"201 W 17th St Ph FNew York, NY 10011",United States,New York,New York County,40.7408109,-73.998475
Brokered by COMPASS,Condo,2000000,1,2,1321.0,Manhattan,"108 Reade St Unit 4WManhattan, NY 10013",New York,New York County,New York,40.7159753,-74.0083683
Brokered by Keller Williams Ny Realty,Co-op,170000,2,1,850.0,Bronx,"3555 Kings College Pl Apt 2GBronx, NY 10467",New York,Bronx County,The Bronx,40.8813916,-73.8757001
Brokered by Corcoran Westside Columbus,Co-op,1295000,2,2,2100.0,Brooklyn,"28 Old Fulton St # ThfBrooklyn, NY 11201",New York,Kings County,Brooklyn,40.702334,-73.9937463
