TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,SUBLOCALITY,LATITUDE,LONGITUDE,AREA_PER_ROOM,BATH_PER_BED,TOTAL_ROOMS,SQFT_PER_BED,BATH_ROOM_DIFF,SIZE_CATEGORY
Co-op,13.845070331079134,2,2,1077.0,New York,"217 E 96th St Apt 29CNew York, NY 10128",New York,New York,40.7849374,-73.9480901,215.4,0.6666666666666666,4,359.0,0,Medium
Co-op,13.458835614025542,1,2,2184.207862,New York,"11 W 81st St Unit 1CNew York, NY 10024",New York,New York,40.7826608,-73.9723737,546.0519655,1.0,3,1092.103931,1,Large
Co-op,12.868763195921677,2,1,2184.207862,Forest Hills,"67-66 108th St Units B & 65Forest Hills, NY 11375",United States,Queens County,40.7272034,-73.8471901,546.0519655,0.3333333333333333,3,728.0692873333334,-1,Large
Condo,14.375126917328105,1,1,937.0,Manhattan,"114 E 13th St Apt 3DManhattan, NY 10003",New York,New York,40.7330327,-73.9891825,312.3333333333333,0.5,2,468.5,0,Small
Co-op,13.81049902116535,1,1,2184.207862,Brooklyn,"111 N 9th St Apt 2LBrooklyn, NY 11249",New York,Brooklyn,40.7201147,-73.9581256,728.0692873333334,0.5,2,1092.103931,0,Large
House,13.304684934198283,5,4,2184.207862,Jamaica,"145-37 115th AveJamaica, NY 11436",United States,Queens County,40.6836616,-73.7970345,218.4207862,0.6666666666666666,9,364.0346436666667,-1,Large
Co-op,12.611541086966115,1,1,2184.207862,Manhattan,"209 W 118th St Apt 2FManhattan, NY 10026",New York,New York,40.8050658,-73.9524985,728.0692873333334,0.5,2,1092.103931,0,Large
Co-op,12.871337193291367,1,1,900.0,Other,"44-10 Ketcham St Unit 5BElmhurst, NY 11373",New York,Queens,40.7427717,-73.8796707,300.0,0.5,2,450.0,0,Small
Co-op,13.681980308196241,1,2,2184.207862,New York,"750 Park Ave Apt 9BNew York, NY 10021",New York,New York,40.7710157,-73.9642556,546.0519655,1.0,3,1092.103931,1,Large
Condo,14.914123179965662,3,3,2100.0,Manhattan,"418 E 59th St # BManhattan, NY 10022",United States,New York County,40.7590132,-73.9612618,300.0,0.75,6,525.0,0,Large
Multi-family home,13.652992804936396,3,2,2194.0,Bronx,"1626 Research AveBronx, NY 10465",United States,Bronx County,40.8467388,-73.8189548,365.6666666666667,0.5,5,548.5,-1,Large
Townhouse,15.095054827301363,5,4,4675.0,New York,"549 W 149th StNew York, NY 10031",United States,New York County,40.828721,-73.947403,467.5,0.6666666666666666,9,779.1666666666666,-1,Large
House,13.73755009757506,3,2,2184.207862,Other,"50-02 60th StWoodside, NY 11377",United States,Queens County,40.737003,-73.904942,364.0346436666667,0.5,5,546.0519655,-1,Large
House,13.591117476312084,5,3,2184.207862,Other,"112-20 210th StQueens Village, NY 11429",United States,Queens County,40.7039425,-73.7459355,242.68976244444445,0.5,8,364.0346436666667,-2,Large
Pending,14.151268968443645,4,2,1800.0,Bayside,"35-12 213th StBayside, NY 11361",United States,Queens County,40.768361,-73.7747442,257.14285714285717,0.4,6,360.0,-2,Medium
House,14.446782866720884,3,5,1920.0,Flushing,"143-40 Poplar AveFlushing, NY 11355",United States,Queens County,40.7492709,-73.8119666,213.33333333333334,1.25,8,480.0,2,Medium
Co-op,12.834683971615659,3,1,2184.207862,Manhattan,"517 W 48th St Apt 2RWManhattan, NY 10036",New York,New York,40.764038,-73.993548,436.8415724,0.25,4,546.0519655,-2,Large
Co-op,12.502470376049185,1,1,625.0,Brooklyn,"130 Bay Ridge Pkwy Apt 4HBrooklyn, NY 11209",New York,Brooklyn,40.632218,-74.0321902,208.33333333333334,0.5,2,312.5,0,Small
House,15.319588176962746,6,4,2184.207862,Other,"147-21 14th AveWhitestone, NY 11357",United States,Queens County,40.7880839,-73.8180817,198.5643510909091,0.5714285714285714,10,312.0296945714286,-2,Large
House,13.286183160425152,3,2,1120.0,Brooklyn,"1316 Dumont AveBrooklyn, NY 11208",United States,Kings County,40.6697595,-73.8692311,186.66666666666666,0.5,5,280.0,-1,Medium
Co-op,12.384223015005313,1,1,700.0,Brooklyn,"1720 E 13th St Apt 1CBrooklyn, NY 11229",New York,Brooklyn,40.6073781,-73.9601827,233.33333333333334,0.5,2,350.0,0,Small
